product_id,product_name,category,subcategory,cost_price_cents,retail_price_cents,weight_kg,sku,created_at
PROD_00000001,Smartphones - Managed high-level application,Electronics,Smartphones,462,676,3.59,SKU-ELE-00001,2021-02-28
PROD_00000002,Jackets - Vision-oriented incremental data-warehouse,Clothing,Jackets,475,762,0.54,SKU-CLO-00002,2023-07-23
PROD_00000003,Headphones - Optional optimal solution,Electronics,Headphones,201,533,3.53,SKU-ELE-00003,2022-08-02
PROD_00000004,Haircare - Synchronized multimedia Graphical User Interface,Beauty,Haircare,561,1375,7.61,SKU-BEA-00004,2021-05-14
PROD_00000005,Puzzles - Cloned homogeneous knowledgebase,Toys,Puzzles,147,327,2.14,SKU-TOY-00005,2022-07-17
PROD_00000006,Cameras - User-centric intangible projection,Electronics,Cameras,132,278,0.9,SKU-ELE-00006,2019-01-24
PROD_00000007,Comics - Multi-lateral heuristic process improvement,Books,Comics,445,1276,1.91,SKU-BOO-00007,2024-03-01
PROD_00000008,Smartphones - Secured web-enabled paradigm,Electronics,Smartphones,76,108,0.85,SKU-ELE-00008,2019-11-07
PROD_00000009,Textbooks - Compatible radical implementation,Books,Textbooks,47,83,0.72,SKU-BOO-00009,2023-01-24
PROD_00000010,Haircare - Open-source optimal intranet,Beauty,Haircare,687,1301,3.27,SKU-BEA-00010,2022-05-16
PROD_00000011,Building Sets - Open-architected analyzing support,Toys,Building Sets,1151,3027,1.43,SKU-TOY-00011,2020-12-06
PROD_00000012,Furniture - Enterprise-wide client-driven customer loyalty,Home & Garden,Furniture,252,752,5.5,SKU-HOM-00012,2022-09-21
PROD_00000013,Activewear - Multi-tiered even-keeled function,Clothing,Activewear,206,352,1.06,SKU-CLO-00013,2020-02-26
PROD_00000014,Cameras - Re-engineered tertiary orchestration,Electronics,Cameras,1102,3070,1.17,SKU-ELE-00014,2023-11-09
PROD_00000015,Outdoor Gear - Monitored systemic benchmark,Sports,Outdoor Gear,128,347,0.94,SKU-SPO-00015,2025-06-26
PROD_00000016,Jeans - Implemented disintermediate knowledge user,Clothing,Jeans,103,173,0.54,SKU-CLO-00016,2021-08-04
PROD_00000017,Team Sports - Synchronized 24hour support,Sports,Team Sports,818,1618,3.72,SKU-SPO-00017,2022-04-01
PROD_00000018,Smartwatches - Future-proofed dedicated software,Electronics,Smartwatches,407,812,14.67,SKU-ELE-00018,2024-01-09
PROD_00000019,Comics - Function-based coherent frame,Books,Comics,1170,3466,1.12,SKU-BOO-00019,2023-04-14
PROD_00000020,Fiction - Robust bi-directional instruction set,Books,Fiction,47,75,0.83,SKU-BOO-00020,2021-04-28
PROD_00000021,Decor - Distributed intermediate customer loyalty,Home & Garden,Decor,99,263,0.78,SKU-HOM-00021,2023-05-09
PROD_00000022,Decor - Decentralized modular Local Area Network,Home & Garden,Decor,409,764,0.84,SKU-HOM-00022,2022-08-11
PROD_00000023,Kitchen - Phased well-modulated flexibility,Home & Garden,Kitchen,612,1555,8.58,SKU-HOM-00023,2024-09-20
PROD_00000024,Garden Tools - Triple-buffered encompassing circuit,Home & Garden,Garden Tools,941,1895,0.8,SKU-HOM-00024,2024-05-01
PROD_00000025,Jeans - Enterprise-wide client-server attitude,Clothing,Jeans,480,1095,0.92,SKU-CLO-00025,2022-08-01
PROD_00000026,Running - Enterprise-wide systemic framework,Sports,Running,475,1289,0.48,SKU-SPO-00026,2020-01-22
PROD_00000027,Gift Baskets - De-engineered secondary benchmark,Food & Gourmet,Gift Baskets,273,728,2.21,SKU-FOO-00027,2024-07-28
PROD_00000028,Skincare - Universal optimizing matrices,Beauty,Skincare,1980,5490,1.54,SKU-BEA-00028,2022-03-07
PROD_00000029,Outdoor Gear - Ergonomic multimedia array,Sports,Outdoor Gear,133,186,0.53,SKU-SPO-00029,2024-07-18
PROD_00000030,Gift Baskets - Synchronized upward-trending website,Food & Gourmet,Gift Baskets,577,1428,0.68,SKU-FOO-00030,2020-12-16
PROD_00000031,Makeup - Synergized object-oriented algorithm,Beauty,Makeup,150,230,7.64,SKU-BEA-00031,2020-03-01
PROD_00000032,Makeup - Focused eco-centric intranet,Beauty,Makeup,688,1380,1.7,SKU-BEA-00032,2022-12-10
PROD_00000033,Furniture - Expanded bi-directional knowledgebase,Home & Garden,Furniture,143,319,1.83,SKU-HOM-00033,2024-09-04
PROD_00000034,Snacks - Inverse bandwidth-monitored alliance,Food & Gourmet,Snacks,848,1682,1.83,SKU-FOO-00034,2020-01-20
PROD_00000035,Skincare - Switchable context-sensitive parallelism,Beauty,Skincare,451,984,6.65,SKU-BEA-00035,2019-02-25
PROD_00000036,Textbooks - Multi-lateral needs-based encoding,Books,Textbooks,2309,6913,0.58,SKU-BOO-00036,2019-04-16
PROD_00000037,Fragrance - Upgradable next generation Graphic Interface,Beauty,Fragrance,304,465,1.11,SKU-BEA-00037,2020-10-31
PROD_00000038,Cameras - Advanced motivating support,Electronics,Cameras,617,1510,1.39,SKU-ELE-00038,2020-01-11
